ID_NUMBER,ARPU_current,ARPU_3m_avg,ARPU_trend,current_tariff,OUT_LOC_ONNET_MIN,OUT_LOC_OFFNET_MIN,OUT_LOC_OFFNET_UNPAID_MIN,OUT_LOC_OFFNET_PAID_MIN,OUT_INTER_MIN,OUT_LOC_LAND_MIN,OUT_LOCAL_ONNET_SMS_AMT,OUT_LOCAL_OFFNET_SMS_AMT,OUT_LOCAL_LAND_PAID_SMS_AMT,OUT_INTER_SMS_AMT,DATA_VOLUME,LTE_DATA_VOLUME,TOTAL_ROAM_CALL_AMT,TOTAL_ROAM_SMS_AMT,TOTAL_ROAM_GPRS_MB,COUNT_CONTACT,AVG_TRANSACT_CONTACT,SUM_TRANSACT_CONTACT,AVG_DURATION_CONTACT,COUNT_BASE_STATION,arpu_segment,data_segment,call_segment,predicted_arpu,current_tariff_data_mb,current_tariff_other_operator_min,current_tariff_other_city_min,current_tariff_price
1002,19033.86,11674.12,GROWING,tariff_11,133.36333333333334,87.32666666666667,80.61999999999999,6.706666666666667,0.0,0.0166666666666666,0.6666666666666666,0.0,0.0,0.0,633.01,49568.39333333333,0.0,0.0,0.0,29.33333333333333,5.502380952380952,161.33333333333334,933.776984126984,20.0,HIGH,LITE,MEDIUM,8605.225,20480.0,200.0,0.0,9388.6
1004,18155.92,10693.51,GROWING,tariff_10,108.71999999999998,84.76666666666667,84.76666666666667,0.0,0.0,0.3766666666666666,0.0,4.333333333333333,0.0,0.0,2172.2000000000003,42080.49333333334,0.0,0.0,0.0,30.0,8.777777777777779,263.3333333333333,566.1444444444445,20.0,HIGH,HEAVY,MEDIUM,8554.7705,12288.0,120.0,0.0,7504.6
1005,8424.75,8356.986666666666,GROWING,tariff_11,13.629999999999995,27.26,27.26,0.0,0.0,0.2766666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,1208.4233333333334,17341.573333333334,0.0,0.0,0.0,24.666666666666668,3.959304152637486,98.0,277.8546801346801,20.0,HIGH,LITE,LOW,8559.225,20480.0,200.0,0.0,9388.6
1006,24576.59,19327.126666666667,GROWING,tariff_12,140.39333333333337,227.65666666666667,217.78333333333333,9.873333333333331,0.0,12.513333333333334,0.0,0.0,0.0,1.6666666666666667,56488.28333333333,58094.95333333333,0.0,0.0,0.0,30.0,12.31111111111111,369.3333333333333,789.4666666666666,20.0,HIGH,HEAVY,MEDIUM,13830.838,30720.0,0.0,300.0,12528.6
1007,7129.62,3769.443333333333,GROWING,tariff_4,125.82,68.77999999999999,60.39000000000001,8.39,0.0,1.5833333333333333,0.0,0.3333333333333333,0.0,0.0,505.0,3495.036666666667,0.0,0.0,0.0,30.0,17.37777777777778,521.3333333333334,1414.9444444444443,20.0,MID,LITE,MEDIUM,3224.073,4096.0,40.0,0.0,4678.6
1008,19808.03,18787.216666666664,STABLE,tariff_11,504.3733333333333,294.65333333333336,200.8033333333333,93.85,3.053333333333333,10.6,5.333333333333333,4.333333333333333,0.0,0.0,46037.82666666666,0.0,0.0,0.0,0.0,30.0,22.37777777777778,671.3333333333334,1476.0777777777778,20.0,HIGH,HEAVY,HIGH,11241.871,20480.0,200.0,0.0,9388.6
1009,6700.54,2287.72,GROWING,tariff_10,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,142.73666666666665,0.0,0.0,0.0,2.6666666666666665,6.333333333333333,15.666666666666666,291.75,12.333333333333334,MID,LITE,LOW,3607.5066,12288.0,120.0,0.0,7504.6
1010,4875.51,5384.653333333333,DECLINING,tariff_14,285.0433333333333,49.19333333333333,48.88666666666666,0.3066666666666667,0.0,0.7733333333333333,3.0,0.3333333333333333,0.0,0.3333333333333333,1868.25,12591.12,0.0,0.0,0.0,24.666666666666668,10.274603174603174,298.3333333333333,1093.779365079365,19.33333333333333,HIGH,LITE,MEDIUM,5384.6533,2048.0,80.0,0.0,7410.4
1012,5452.39,5313.665,STABLE,tariff_8,0.0,0.0,0.0,0.0,0.0,0.965,0.0,0.0,0.0,7.5,8.345,7124.875,0.0,0.0,0.0,6.5,2.5454545454545454,14.5,67.72727272727272,18.5,HIGH,LITE,LOW,5313.665,8192.0,80.0,0.0,5934.6
1014,8947.05,8764.25,STABLE,tariff_11,588.59,36.693333333333335,36.693333333333335,0.0,0.0,1.4466666666666663,14.333333333333334,0.6666666666666666,0.0,0.0,28320.286666666667,163.10333333333332,0.0,0.0,0.0,30.0,13.855555555555556,415.6666666666667,1911.6888888888889,20.0,HIGH,HEAVY,HIGH,9873.731,20480.0,200.0,0.0,9388.6
